id,nombre,genero_musical
4ce818e3-ee02-4d77-9339-f1cc49c5962d,Cinepolis Colombia,CINE
6ca2be63-e62f-4e61-a590-f48f71de4995,Royal Films,CINE
59eb2f8d-ba44-40af-aa26-389d07289ba1,Procinal,CINE
12c4ee0c-68d1-4338-928c-0e3d5e1088e2,Cinemark Colombia,CINE
cba1941d-00f3-4671-8a6a-7dcbe27a1411,Cine Colombia,CINE
53d6c868-d279-41d3-8be7-c4614d739498,Parques Temáticos Hacienda Nápoles,PARQUES - RECREACIÓN
e908eb4d-efd5-4b46-a0a3-917d79773965,Mundo Aventura,PARQUES - RECREACIÓN
cc275a1e-213f-4ec4-be48-f073d81081ea,Piscilago | Parque Acuático,PARQUES - RECREACIÓN
77ab176a-5bc4-415c-b8f3-354c3f019eba,Multiparque Parque de Diversiones,PARQUES - RECREACIÓN
b3ff22ff-1d85-4b50-b47b-8e715aae3271,Parque del Café,PARQUES - RECREACIÓN
78a65040-5f61-419a-9cb7-c837ad8a9be1,Salitre Mágico,PARQUES - RECREACIÓN
cc920da8-e4e1-439b-9cc1-f9d8b16ec04d,Fundación Parque Jaime Duque,PARQUES - RECREACIÓN
d181f4d0-7e7f-47a1-b0a2-246670b4775b,panaca quindio,PARQUES - RECREACIÓN
22338b09-152f-4964-8b8d-0f8996e068b8,Parque Nacional del Chicamocha,PARQUES - RECREACIÓN
42eb41a4-a8ab-43a2-91d3-9fde69e80609,COOMOFU LTDA,TRANSPORTE
60df364a-014e-4dc6-a700-4c74a9e803a1,Vigía Servicio Especia,TRANSPORTE
e341da4c-f112-4dc7-a33b-60fa11ac3ddc,Coomotor,TRANSPORTE
f3dabeee-227a-42dc-8969-920e2ad855b7,onika transporte,TRANSPORTE
7bead0cd-4c33-468d-b39e-5711130c36b0,royal express,TRANSPORTE
ae2d3b07-913b-45f3-999e-76319fe454f0,expreso brasilia,TRANSPORTE
eb3954c0-8df9-487a-b221-ed0459b88c5c,SODIS SERVICIO ESPECIAL,TRANSPORTE
493c4d63-37b9-44ab-b3fe-b4996444663a,Grupo Santorini,TRANSPORTE
6930e78f-3e17-4b6c-ba3d-9af73bf0f4f8,transguia transportes,TRANSPORTE
7cd5909c-237c-4291-9282-6e9f0db3c488,coopservices ltda,TRANSPORTE
88ffa2d1-cdc8-482d-8298-36fed7a6ab2f,SITEC S.A.S,TRANSPORTE
c1c0baa2-4da5-40c2-8458-1f7bbc9dbd0f,ESCOTUR,TRANSPORTE
9e2cbc4a-af7e-456f-88e7-9c65dd5387e5,M&c Transportes S A S,TRANSPORTE
83610595-d8cb-46ee-807e-85dd37219c87,Tu bus colombia,TRANSPORTE
be1b9521-cf7e-4f6a-b6d7-bd4e8509bfaf,colombia travel tours,TRANSPORTE
b540d2d4-2686-4094-ad21-c28be9d277fa,Cabify,TRANSPORTE
24af29db-ebb2-4905-b0ec-3784409bc92d,Seturcol,TRANSPORTE
47e7c1c3-905d-4e42-a041-1860113e183b,BERLINAS,TRANSPORTE
